@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2025/11/18 22:33:55:922',1,0.471721,0.298894,0.000001,0.516164,0.521958,-0.066706,0.449544,0.638249,-0.06677,0.443982,0.635597,-0.038318,0.43972,0.611706,-0.017695,0.442036,0.568663,0.003873,1,0,0
2,'2025/11/18 22:33:55:989',1,0.473925,0.299496,0.000001,0.516104,0.522282,-0.067627,0.449887,0.636141,-0.070366,0.443401,0.63498,-0.041009,0.440154,0.609419,-0.020616,0.445892,0.563079,-0.000079,1,0,0
3,'2025/11/18 22:33:56:053',1,0.473873,0.300506,0.000001,0.517227,0.522963,-0.070645,0.449297,0.63751,-0.070962,0.444947,0.635635,-0.041257,0.441797,0.611809,-0.020613,0.443868,0.569547,0.001122,1,0,0
4,'2025/11/18 22:33:56:118',1,0.472578,0.298907,0.000001,0.517479,0.521843,-0.068169,0.449795,0.636091,-0.073893,0.44458,0.639003,-0.046485,0.441679,0.614017,-0.025293,0.441737,0.572395,-0.004435,1,0,0
5,'2025/11/18 22:33:56:181',1,0.474621,0.298872,0.000001,0.518361,0.522703,-0.066299,0.450891,0.636224,-0.068778,0.445248,0.635994,-0.040332,0.44115,0.610259,-0.019244,0.441344,0.567527,0.002231,1,0,0
6,'2025/11/18 22:33:56:242',1,0.47614,0.30034,0.000001,0.518286,0.522127,-0.068602,0.4526,0.637322,-0.071208,0.446875,0.637739,-0.043011,0.44188,0.612736,-0.020123,0.441472,0.569719,0.001259,1,0,0
7,'2025/11/18 22:33:56:318',1,0.480496,0.301357,0.000001,0.521559,0.522263,-0.068655,0.455224,0.636809,-0.07375,0.450688,0.639365,-0.046174,0.446687,0.613473,-0.024997,0.445071,0.570788,-0.005736,1,0,0
8,'2025/11/18 22:33:56:380',1,0.485354,0.303861,0,0.524894,0.523801,-0.06473,0.460396,0.636664,-0.06913,0.454585,0.638251,-0.042826,0.448582,0.613838,-0.022806,0.441021,0.56729,-0.003618,1,0,0
9,'2025/11/18 22:33:56:442',1,0.487969,0.306745,0.000001,0.530503,0.523101,-0.069267,0.465574,0.641037,-0.076664,0.459938,0.645177,-0.049928,0.457845,0.621839,-0.028318,0.458231,0.581048,-0.008415,1,0,0
10,'2025/11/18 22:33:56:508',1,0.49423,0.307277,0,0.535017,0.5239,-0.062723,0.469583,0.642951,-0.073743,0.463006,0.646855,-0.04616,0.462862,0.623016,-0.024466,0.464129,0.578768,-0.006518,1,0,0
11,'2025/11/18 22:33:56:568',1,0.502815,0.305811,0,0.546495,0.520236,-0.065437,0.480452,0.640846,-0.07156,0.473821,0.644141,-0.04455,0.470298,0.62207,-0.021972,0.467077,0.580701,-0.002713,1,0,0
12,'2025/11/18 22:33:56:630',1,0.510377,0.307571,0,0.55876,0.51846,-0.069664,0.493422,0.639287,-0.078332,0.484901,0.646008,-0.05185,0.481707,0.628442,-0.030211,0.480336,0.593429,-0.011584,1,0,0
13,'2025/11/18 22:33:56:714',1,0.523759,0.301941,0,0.574348,0.517022,-0.064045,0.504163,0.636712,-0.079778,0.495103,0.646298,-0.057021,0.490984,0.627468,-0.039381,0.484794,0.584693,-0.023632,1,0,0
14,'2025/11/18 22:33:56:774',1,0.540927,0.301489,0,0.593331,0.513657,-0.069011,0.519004,0.63626,-0.086231,0.509134,0.645408,-0.064897,0.507233,0.622822,-0.04707,0.501305,0.58034,-0.032257,1,0,0
15,'2025/11/18 22:33:56:835',1,0.553482,0.299238,0,0.612769,0.512913,-0.063928,0.53656,0.634809,-0.086789,0.526608,0.650105,-0.068111,0.523968,0.630606,-0.053174,0.527825,0.572403,-0.036885,1,0,0
16,'2025/11/18 22:33:56:906',1,0.57307,0.304259,0,0.632893,0.513944,-0.060628,0.560732,0.639191,-0.079535,0.542946,0.658911,-0.060471,0.539278,0.639416,-0.042856,0.53438,0.596669,-0.027683,1,0,0
17,'2025/11/18 22:33:56:965',1,0.591448,0.295066,0,0.655027,0.518906,-0.062381,0.576939,0.641933,-0.0863,0.564088,0.650042,-0.058625,0.559607,0.626087,-0.037082,0.551654,0.580307,-0.02074,1,0,0
18,'2025/11/18 22:33:57:047',1,0.608044,0.298313,0,0.672942,0.516972,-0.066336,0.595667,0.640683,-0.087394,0.581363,0.651563,-0.058553,0.576602,0.630892,-0.036495,0.568427,0.586227,-0.019862,1,0,0
19,'2025/11/18 22:33:57:106',1,0.626652,0.296306,0,0.688881,0.518744,-0.068005,0.614072,0.643834,-0.087824,0.604268,0.648423,-0.05557,0.598245,0.62544,-0.031444,0.588612,0.576209,-0.013763,1,0,0
20,'2025/11/18 22:33:57:167',1,0.640529,0.294991,0,0.707751,0.518577,-0.065692,0.632091,0.646575,-0.082776,0.620265,0.651214,-0.055467,0.609923,0.629092,-0.034103,0.592524,0.571238,-0.017803,1,0,0
21,'2025/11/18 22:33:57:232',1,0.658347,0.291212,0,0.722994,0.519399,-0.060695,0.64543,0.64426,-0.075371,0.638693,0.648347,-0.050801,0.628251,0.628539,-0.03302,0.612327,0.566034,-0.017946,1,0,0
22,'2025/11/18 22:33:57:299',1,0.676833,0.286216,0,0.742699,0.5157,-0.063157,0.660048,0.643421,-0.08167,0.653636,0.647216,-0.055538,0.644073,0.625381,-0.035856,0.622825,0.562539,-0.021103,1,0,0
23,'2025/11/18 22:33:57:361',1,0.696712,0.290358,0,0.76056,0.514619,-0.064301,0.682625,0.644318,-0.080729,0.670963,0.650685,-0.051878,0.663593,0.62999,-0.032975,0.651028,0.569025,-0.016412,1,0,0
24,'2025/11/18 22:33:57:450',1,0.711744,0.281934,0,0.780442,0.515708,-0.066868,0.701631,0.645722,-0.080891,0.687803,0.650682,-0.055994,0.67812,0.628309,-0.034755,0.661138,0.569748,-0.016886,1,0,0
25,'2025/11/18 22:33:57:513',1,0.725066,0.286173,0,0.798949,0.522182,-0.068509,0.719401,0.650396,-0.083706,0.704392,0.652164,-0.050888,0.695034,0.630485,-0.027764,0.678316,0.575227,-0.009961,1,0,0
26,'2025/11/18 22:33:57:572',1,0.738212,0.282243,0,0.808694,0.52465,-0.067915,0.728843,0.653118,-0.083273,0.716805,0.655757,-0.054256,0.707389,0.627574,-0.031288,0.681834,0.562478,-0.013876,1,0,0
27,'2025/11/18 22:33:57:636',1,0.747705,0.283887,0.000001,0.819893,0.53243,-0.073873,0.740677,0.657365,-0.073873,0.726643,0.655324,-0.042872,0.715575,0.630491,-0.019271,0.69349,0.567603,-0.00141,1,0,0
28,'2025/11/18 22:33:57:697',1,0.756169,0.278541,0,0.832017,0.522524,-0.066391,0.750226,0.656875,-0.076777,0.737929,0.658008,-0.046541,0.729137,0.630101,-0.022597,0.706911,0.570122,-0.004477,1,0,0
29,'2025/11/18 22:33:57:763',1,0.767499,0.277386,0.000001,0.843084,0.524466,-0.073134,0.764168,0.656028,-0.07407,0.750488,0.658738,-0.045249,0.740313,0.630266,-0.02167,0.714144,0.567533,-0.003157,1,0,0
30,'2025/11/18 22:33:57:849',1,0.778761,0.274016,0.000001,0.857861,0.525118,-0.073972,0.773167,0.655076,-0.077608,0.759322,0.658447,-0.043896,0.749864,0.624163,-0.019038,0.714706,0.548833,-0.001314,1,0,0
31,'2025/11/18 22:33:57:909',1,0.787808,0.275293,0.000001,0.866245,0.530284,-0.082784,0.779825,0.656263,-0.081105,0.767178,0.662729,-0.046101,0.758329,0.627682,-0.020021,0.726693,0.560655,0.000654,1,0,0
32,'2025/11/18 22:33:57:970',1,0.782411,0.269159,0.000001,0.861333,0.533541,-0.074205,0.78036,0.657065,-0.072358,0.767236,0.662613,-0.039485,0.755357,0.627565,-0.013279,0.722539,0.559571,0.008911,1,0,0
33,'2025/11/18 22:33:58:036',1,0.781334,0.268374,0.000001,0.86169,0.532377,-0.072095,0.782199,0.658393,-0.074,0.763705,0.659729,-0.038177,0.754074,0.624933,-0.010188,0.730803,0.563034,0.01144,1,0,0
34,'2025/11/18 22:33:58:099',1,0.774798,0.269822,0.000001,0.855765,0.523768,-0.069417,0.776797,0.654453,-0.074554,0.759393,0.656016,-0.044178,0.748951,0.624173,-0.017701,0.727357,0.564537,0.002503,1,0,0
35,'2025/11/18 22:33:58:182',1,0.757204,0.266365,0.000001,0.845293,0.517346,-0.064163,0.763482,0.652715,-0.070539,0.748498,0.650585,-0.043962,0.7368,0.624664,-0.020202,0.718848,0.573744,-0.003278,1,0,0
36,'2025/11/18 22:33:58:241',1,0.740148,0.278482,0.000001,0.829896,0.514812,-0.062106,0.744227,0.648019,-0.071114,0.733281,0.649972,-0.04094,0.723641,0.623972,-0.016918,0.704571,0.574502,0.000657,1,0,0
37,'2025/11/18 22:33:58:316',1,0.717012,0.286738,0,0.79802,0.511676,-0.058898,0.722493,0.648307,-0.074556,0.70937,0.654069,-0.046688,0.709224,0.634892,-0.025193,0.704249,0.595668,-0.009221,1,0,0
38,'2025/11/18 22:33:58:376',1,0.694965,0.282707,0,0.767792,0.510761,-0.053177,0.696698,0.645873,-0.070669,0.682669,0.65211,-0.049154,0.673017,0.629981,-0.030052,0.655627,0.580442,-0.015568,1,0,0
39,'2025/11/18 22:33:58:436',1,0.675087,0.283651,0,0.740728,0.50958,-0.05239,0.665924,0.645106,-0.071713,0.658921,0.647247,-0.053645,0.648935,0.62789,-0.036729,0.634005,0.580828,-0.022916,1,0,0
40,'2025/11/18 22:33:58:500',1,0.649035,0.295501,0,0.704817,0.51399,-0.048276,0.638706,0.642884,-0.064334,0.632228,0.644283,-0.049474,0.623298,0.628161,-0.034529,0.609865,0.589672,-0.01979,1,0,0
41,'2025/11/18 22:33:58:589',1,0.620588,0.292402,0.000001,0.68102,0.515912,-0.064039,0.607207,0.644209,-0.088378,0.586134,0.657989,-0.066367,0.588121,0.634503,-0.04635,0.589044,0.59207,-0.028728,1,0,0
42,'2025/11/18 22:33:58:651',1,0.585705,0.291257,0.000001,0.64365,0.521476,-0.06081,0.571225,0.643658,-0.084711,0.563376,0.65284,-0.068403,0.556553,0.633378,-0.049453,0.567764,0.57949,-0.027483,1,0,0
